id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4506243009870340,J2CpmFpJ2,#幸福触手可及开播##幸福触手可及# 度量自身，方能修炼精彩人生。追梦不易，披荆斩棘。今晚八点@湖南卫视 和周放，一起守护梦想，书写初夏。 ,,https://wx1.sinaimg.cn/large/63885668gy1gexjyzy4jbj227d3344qr.jpg,,,2020-05-19,,527031,101644,1000000,"幸福触手可及开播,幸福触手可及",湖南卫视
4506220868058606,J2BPExOpw,很高兴成为力士大中华区沐浴系列代言人，520就要到啦，大家快来接收告白福利哦！全新植萃泡泡沐浴露让每一位小仙女都能在浓密泡泡浴中拥有夏日嫩白肌，仙气香气都十足！关注@LUX力士 第一时间锁定新品哦！LUX力士的微博视频 ,,,"http://f.video.weibocdn.com/004rRLMHgx07DngYEeAv01041200p7Rp0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1590857915&ssig=%2FSAOldzx65&KID=unistore,video",,2020-05-19,,732086,282524,1000000,,LUX力士
4504796625833155,J20Muott9,哈哈哈哈哈哈👅 ,,https://wx4.sinaimg.cn/large/63885668ly1gesxtznhuxj21o0280b2a.jpg,,,2020-05-15,,1116204,1000000,1000000,,
4503076830838700,J1i2D3wbq,#极限挑战# 无奖填词竞答，今晚看👉登峰造＿，不可＿量，百里＿一，南征北＿～ Dear-迪丽热巴的微博视频 ,,,"http://f.video.weibocdn.com/2sLlyiOZlx07Da1bD1XO01041200qFDZ0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1590857970&ssig=3BHVFSGFQO&KID=unistore,video",,2020-05-10,,725823,505844,1000000,极限挑战,
4510357803339855,J4ls8e0QD,#idoltube##周放vlog# 第二篇来啦！今天邀请大家走进生活，走进幸福的放放子一家～#幸福触手可及# Dear-迪丽热巴的微博视频 ,,,"http://f.video.weibocdn.com/xkUhsgQwlx07DG44oROw01041201qC7h0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1590857990&ssig=sZiWQmhzQF&KID=unistore,video",,2020-05-30,国产剧集 · 视频社区,226192,19001,180842,"idoltube,周放vlog,幸福触手可及",
4510253942870669,J4iKCc2N7,@法国娇韵诗 收到宠爱了～小娇的618#娇宠你有一套#，早晚护肤都靠它，超级喜欢这份宠爱！现在给全体爱丽丝们施法，希望你们都可以拥有这份让你变美的娇宠礼物哦～同款娇宠网页链接一起享用！ ,,"https://wx4.sinaimg.cn/large/63885668ly1gfacma37xcj20zk0npwxn.jpg,https://wx3.sinaimg.cn/large/63885668ly1gfacm9sr2ej20zk0mancj.jpg",,,2020-05-30,,347758,33279,1000000,娇宠你有一套,法国娇韵诗
4509936182927994,J4au6chHI,#微博剧场# 我为4A景区代言，酷飒周放的追剧邀请，你来吗？ #4A景区触手可及# ,,https://wx4.sinaimg.cn/large/63885668ly1gf9c4lx836g20gi0ginpg.gif,,,2020-05-29,,341564,29888,821277,"微博剧场,4A景区触手可及",
4509887742914199,J49dYce7d,@路易威登  PONT 9 手袋 陪你摩登一夏#LVPONT9# ,,"https://wx2.sinaimg.cn/large/63885668ly1gf96jxvgqtj21jk223x6q.jpg,https://wx3.sinaimg.cn/large/63885668ly1gf96kbv253j21g31xgkjm.jpg,https://wx1.sinaimg.cn/large/63885668ly1gf96jr2rozj21g31xgnpe.jpg",,,2020-05-29,,664995,115230,1000000,LVPONT9,路易威登
4509206545698713,J3RvgnUuJ,#热巴手稿填色大赛#服装手稿填色游戏正式开启！图一出自迪迪子，图二出自放放子。迪迪子的面子就靠大家的后期填色了 绿洲 ,,"https://wx1.sinaimg.cn/large/63885668ly3gf70bvty0jj216n1kw1kx.jpg,https://wx3.sinaimg.cn/large/63885668ly3gf70bvre6pj214u1kw7ft.jpg",,,2020-05-27,绿洲APP,677581,187546,1000000,热巴手稿填色大赛,
4508573856356301,J3B2NqFyZ,#idoltube##周放vlog# 放放子的第一支搞事业篇vlog已上线～约vlog的朋友们可以放下你们的号码牌了 #幸福触手可及# Dear-迪丽热巴的微博视频 ,,,"http://f.video.weibocdn.com/wxqO0z54lx07DydfKXT201041201qK2S0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1590857934&ssig=h2QvDDjwJo&KID=unistore,video",,2020-05-25,影视剪辑 · 视频社区,414686,64144,1000000,"idoltube,周放vlog,幸福触手可及",
4508427881436105,J3xfm61AZ,粉色天空、闪耀夜色、浪漫爱意…我把我喜爱的元素和巴黎限定记忆全部定格在这一瓶#YSL反转巴黎#热爱限定中，第一次与YSL一起合作设计香水，在这#拦不住的夏天#把甜甜的曼陀罗花香送给你们，喜欢吗？💓 ,,"https://wx4.sinaimg.cn/large/63885668ly1gf4iwe1dlwj24as2a1b2d.jpg,https://wx4.sinaimg.cn/large/63885668ly1gf4iwgftuzj22pg1ww1l3.jpg",,,2020-05-25,,589853,272230,1000000,"YSL反转巴黎,拦不住的夏天",
4506243009870340,J2CpmFpJ2,#幸福触手可及开播##幸福触手可及# 度量自身，方能修炼精彩人生。追梦不易，披荆斩棘。今晚八点@湖南卫视 和周放，一起守护梦想，书写初夏。 ,,https://wx1.sinaimg.cn/large/63885668gy1gexjyzy4jbj227d3344qr.jpg,,,2020-05-19,,527032,101644,1000000,"幸福触手可及开播,幸福触手可及",湖南卫视
4506220868058606,J2BPExOpw,很高兴成为力士大中华区沐浴系列代言人，520就要到啦，大家快来接收告白福利哦！全新植萃泡泡沐浴露让每一位小仙女都能在浓密泡泡浴中拥有夏日嫩白肌，仙气香气都十足！关注@LUX力士 第一时间锁定新品哦！LUX力士的微博视频 ,,,"http://f.video.weibocdn.com/004rRLMHgx07DngYEeAv01041200p7Rp0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1590857934&ssig=cJkIMHNxlj&KID=unistore,video",,2020-05-19,,732086,282534,1000000,,LUX力士
4504796625833155,J20Muott9,哈哈哈哈哈哈👅 ,,https://wx4.sinaimg.cn/large/63885668ly1gesxtznhuxj21o0280b2a.jpg,,,2020-05-15,,1116206,1000000,1000000,,
4503076830838700,J1i2D3wbq,#极限挑战# 无奖填词竞答，今晚看👉登峰造＿，不可＿量，百里＿一，南征北＿～ Dear-迪丽热巴的微博视频 ,,,"http://f.video.weibocdn.com/2sLlyiOZlx07Da1bD1XO01041200qFDZ0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1590857963&ssig=FVq2metNPZ&KID=unistore,video",,2020-05-10,,725823,505844,1000000,极限挑战,
4510357803339855,J4ls8e0QD,#idoltube##周放vlog# 第二篇来啦！今天邀请大家走进生活，走进幸福的放放子一家～#幸福触手可及# Dear-迪丽热巴的微博视频 ,,,"http://f.video.weibocdn.com/xkUhsgQwlx07DG44oROw01041201qC7h0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1590858067&ssig=Aq6yqx1Gw%2F&KID=unistore,video",,2020-05-30,国产剧集 · 视频社区,226700,19008,180850,"idoltube,周放vlog,幸福触手可及",
4510253942870669,J4iKCc2N7,@法国娇韵诗 收到宠爱了～小娇的618#娇宠你有一套#，早晚护肤都靠它，超级喜欢这份宠爱！现在给全体爱丽丝们施法，希望你们都可以拥有这份让你变美的娇宠礼物哦～同款娇宠网页链接一起享用！ ,,"https://wx4.sinaimg.cn/large/63885668ly1gfacma37xcj20zk0npwxn.jpg,https://wx3.sinaimg.cn/large/63885668ly1gfacm9sr2ej20zk0mancj.jpg",,,2020-05-30,,347906,33285,1000000,娇宠你有一套,法国娇韵诗
4509936182927994,J4au6chHI,#微博剧场# 我为4A景区代言，酷飒周放的追剧邀请，你来吗？ #4A景区触手可及# ,,https://wx4.sinaimg.cn/large/63885668ly1gf9c4lx836g20gi0ginpg.gif,,,2020-05-29,,341592,29888,821279,"微博剧场,4A景区触手可及",
4509887742914199,J49dYce7d,@路易威登  PONT 9 手袋 陪你摩登一夏#LVPONT9# ,,"https://wx2.sinaimg.cn/large/63885668ly1gf96jxvgqtj21jk223x6q.jpg,https://wx3.sinaimg.cn/large/63885668ly1gf96kbv253j21g31xgkjm.jpg,https://wx1.sinaimg.cn/large/63885668ly1gf96jr2rozj21g31xgnpe.jpg",,,2020-05-29,,665037,115231,1000000,LVPONT9,路易威登
4509206545698713,J3RvgnUuJ,#热巴手稿填色大赛#服装手稿填色游戏正式开启！图一出自迪迪子，图二出自放放子。迪迪子的面子就靠大家的后期填色了 绿洲 ,,"https://wx1.sinaimg.cn/large/63885668ly3gf70bvty0jj216n1kw1kx.jpg,https://wx3.sinaimg.cn/large/63885668ly3gf70bvre6pj214u1kw7ft.jpg",,,2020-05-27,绿洲APP,677601,187546,1000000,热巴手稿填色大赛,
4508573856356301,J3B2NqFyZ,#idoltube##周放vlog# 放放子的第一支搞事业篇vlog已上线～约vlog的朋友们可以放下你们的号码牌了 #幸福触手可及# Dear-迪丽热巴的微博视频 ,,,"http://f.video.weibocdn.com/wxqO0z54lx07DydfKXT201041201qK2S0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1590858070&ssig=swkd5Q02k4&KID=unistore,video",,2020-05-25,影视剪辑 · 视频社区,414704,64144,1000000,"idoltube,周放vlog,幸福触手可及",
4508427881436105,J3xfm61AZ,粉色天空、闪耀夜色、浪漫爱意…我把我喜爱的元素和巴黎限定记忆全部定格在这一瓶#YSL反转巴黎#热爱限定中，第一次与YSL一起合作设计香水，在这#拦不住的夏天#把甜甜的曼陀罗花香送给你们，喜欢吗？💓 ,,"https://wx4.sinaimg.cn/large/63885668ly1gf4iwe1dlwj24as2a1b2d.jpg,https://wx4.sinaimg.cn/large/63885668ly1gf4iwgftuzj22pg1ww1l3.jpg",,,2020-05-25,,589859,272230,1000000,"YSL反转巴黎,拦不住的夏天",
4506243009870340,J2CpmFpJ2,#幸福触手可及开播##幸福触手可及# 度量自身，方能修炼精彩人生。追梦不易，披荆斩棘。今晚八点@湖南卫视 和周放，一起守护梦想，书写初夏。 ,,https://wx1.sinaimg.cn/large/63885668gy1gexjyzy4jbj227d3344qr.jpg,,,2020-05-19,,527036,101644,1000000,"幸福触手可及开播,幸福触手可及",湖南卫视
4506220868058606,J2BPExOpw,很高兴成为力士大中华区沐浴系列代言人，520就要到啦，大家快来接收告白福利哦！全新植萃泡泡沐浴露让每一位小仙女都能在浓密泡泡浴中拥有夏日嫩白肌，仙气香气都十足！关注@LUX力士 第一时间锁定新品哦！LUX力士的微博视频 ,,,"http://f.video.weibocdn.com/004rRLMHgx07DngYEeAv01041200p7Rp0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1590858070&ssig=eGpe2WKLwv&KID=unistore,video",,2020-05-19,,732087,282538,1000000,,LUX力士
4504796625833155,J20Muott9,哈哈哈哈哈哈👅 ,,https://wx4.sinaimg.cn/large/63885668ly1gesxtznhuxj21o0280b2a.jpg,,,2020-05-15,,1116209,1000000,1000000,,
4503076830838700,J1i2D3wbq,#极限挑战# 无奖填词竞答，今晚看👉登峰造＿，不可＿量，百里＿一，南征北＿～ Dear-迪丽热巴的微博视频 ,,,"http://f.video.weibocdn.com/2sLlyiOZlx07Da1bD1XO01041200qFDZ0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1590858080&ssig=IjIk9eFRfY&KID=unistore,video",,2020-05-10,,725824,505844,1000000,极限挑战,
4510357803339855,J4ls8e0QD,#idoltube##周放vlog# 第二篇来啦！今天邀请大家走进生活，走进幸福的放放子一家～#幸福触手可及# Dear-迪丽热巴的微博视频 ,,,"http://f.video.weibocdn.com/xkUhsgQwlx07DG44oROw01041201qC7h0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1590858140&ssig=3O4xaYhO0m&KID=unistore,video",,2020-05-30,国产剧集 · 视频社区,226993,19013,180856,"idoltube,周放vlog,幸福触手可及",
4510253942870669,J4iKCc2N7,@法国娇韵诗 收到宠爱了～小娇的618#娇宠你有一套#，早晚护肤都靠它，超级喜欢这份宠爱！现在给全体爱丽丝们施法，希望你们都可以拥有这份让你变美的娇宠礼物哦～同款娇宠网页链接一起享用！ ,,"https://wx4.sinaimg.cn/large/63885668ly1gfacma37xcj20zk0npwxn.jpg,https://wx3.sinaimg.cn/large/63885668ly1gfacm9sr2ej20zk0mancj.jpg",,,2020-05-30,,348027,33286,1000000,娇宠你有一套,法国娇韵诗
4509936182927994,J4au6chHI,#微博剧场# 我为4A景区代言，酷飒周放的追剧邀请，你来吗？ #4A景区触手可及# ,,https://wx4.sinaimg.cn/large/63885668ly1gf9c4lx836g20gi0ginpg.gif,,,2020-05-29,,341622,29888,821279,"微博剧场,4A景区触手可及",
4509887742914199,J49dYce7d,@路易威登  PONT 9 手袋 陪你摩登一夏#LVPONT9# ,,"https://wx2.sinaimg.cn/large/63885668ly1gf96jxvgqtj21jk223x6q.jpg,https://wx3.sinaimg.cn/large/63885668ly1gf96kbv253j21g31xgkjm.jpg,https://wx1.sinaimg.cn/large/63885668ly1gf96jr2rozj21g31xgnpe.jpg",,,2020-05-29,,665055,115236,1000000,LVPONT9,路易威登
4509206545698713,J3RvgnUuJ,#热巴手稿填色大赛#服装手稿填色游戏正式开启！图一出自迪迪子，图二出自放放子。迪迪子的面子就靠大家的后期填色了 绿洲 ,,"https://wx1.sinaimg.cn/large/63885668ly3gf70bvty0jj216n1kw1kx.jpg,https://wx3.sinaimg.cn/large/63885668ly3gf70bvre6pj214u1kw7ft.jpg",,,2020-05-27,绿洲APP,677637,187547,1000000,热巴手稿填色大赛,
4508573856356301,J3B2NqFyZ,#idoltube##周放vlog# 放放子的第一支搞事业篇vlog已上线～约vlog的朋友们可以放下你们的号码牌了 #幸福触手可及# Dear-迪丽热巴的微博视频 ,,,"http://f.video.weibocdn.com/wxqO0z54lx07DydfKXT201041201qK2S0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1590858122&ssig=X440mqi7oN&KID=unistore,video",,2020-05-25,影视剪辑 · 视频社区,414711,64144,1000000,"idoltube,周放vlog,幸福触手可及",
4508427881436105,J3xfm61AZ,粉色天空、闪耀夜色、浪漫爱意…我把我喜爱的元素和巴黎限定记忆全部定格在这一瓶#YSL反转巴黎#热爱限定中，第一次与YSL一起合作设计香水，在这#拦不住的夏天#把甜甜的曼陀罗花香送给你们，喜欢吗？💓 ,,"https://wx4.sinaimg.cn/large/63885668ly1gf4iwe1dlwj24as2a1b2d.jpg,https://wx4.sinaimg.cn/large/63885668ly1gf4iwgftuzj22pg1ww1l3.jpg",,,2020-05-25,,589865,272230,1000000,"YSL反转巴黎,拦不住的夏天",
4506243009870340,J2CpmFpJ2,#幸福触手可及开播##幸福触手可及# 度量自身，方能修炼精彩人生。追梦不易，披荆斩棘。今晚八点@湖南卫视 和周放，一起守护梦想，书写初夏。 ,,https://wx1.sinaimg.cn/large/63885668gy1gexjyzy4jbj227d3344qr.jpg,,,2020-05-19,,527041,101644,1000000,"幸福触手可及开播,幸福触手可及",湖南卫视
4506220868058606,J2BPExOpw,很高兴成为力士大中华区沐浴系列代言人，520就要到啦，大家快来接收告白福利哦！全新植萃泡泡沐浴露让每一位小仙女都能在浓密泡泡浴中拥有夏日嫩白肌，仙气香气都十足！关注@LUX力士 第一时间锁定新品哦！LUX力士的微博视频 ,,,"http://f.video.weibocdn.com/004rRLMHgx07DngYEeAv01041200p7Rp0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1590858140&ssig=Nxylf3sxnn&KID=unistore,video",,2020-05-19,,732091,282538,1000000,,LUX力士
4504796625833155,J20Muott9,哈哈哈哈哈哈👅 ,,https://wx4.sinaimg.cn/large/63885668ly1gesxtznhuxj21o0280b2a.jpg,,,2020-05-15,,1116214,1000000,1000000,,
4503076830838700,J1i2D3wbq,#极限挑战# 无奖填词竞答，今晚看👉登峰造＿，不可＿量，百里＿一，南征北＿～ Dear-迪丽热巴的微博视频 ,,,"http://f.video.weibocdn.com/2sLlyiOZlx07Da1bD1XO01041200qFDZ0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1590858140&ssig=xgiskMocP5&KID=unistore,video",,2020-05-10,,725825,505844,1000000,极限挑战,
4510357803339855,J4ls8e0QD,#idoltube##周放vlog# 第二篇来啦！今天邀请大家走进生活，走进幸福的放放子一家～#幸福触手可及# Dear-迪丽热巴的微博视频 ,,,"http://f.video.weibocdn.com/xkUhsgQwlx07DG44oROw01041201qC7h0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1590858134&ssig=IAAD4GfbL3&KID=unistore,video",,2020-05-30,国产剧集 · 视频社区,227110,19015,180861,"idoltube,周放vlog,幸福触手可及",
4510253942870669,J4iKCc2N7,@法国娇韵诗 收到宠爱了～小娇的618#娇宠你有一套#，早晚护肤都靠它，超级喜欢这份宠爱！现在给全体爱丽丝们施法，希望你们都可以拥有这份让你变美的娇宠礼物哦～同款娇宠网页链接一起享用！ ,,"https://wx4.sinaimg.cn/large/63885668ly1gfacma37xcj20zk0npwxn.jpg,https://wx3.sinaimg.cn/large/63885668ly1gfacm9sr2ej20zk0mancj.jpg",,,2020-05-30,,348084,33287,1000000,娇宠你有一套,法国娇韵诗
4509936182927994,J4au6chHI,#微博剧场# 我为4A景区代言，酷飒周放的追剧邀请，你来吗？ #4A景区触手可及# ,,https://wx4.sinaimg.cn/large/63885668ly1gf9c4lx836g20gi0ginpg.gif,,,2020-05-29,,341636,29888,821279,"微博剧场,4A景区触手可及",
4509887742914199,J49dYce7d,@路易威登  PONT 9 手袋 陪你摩登一夏#LVPONT9# ,,"https://wx2.sinaimg.cn/large/63885668ly1gf96jxvgqtj21jk223x6q.jpg,https://wx3.sinaimg.cn/large/63885668ly1gf96kbv253j21g31xgkjm.jpg,https://wx1.sinaimg.cn/large/63885668ly1gf96jr2rozj21g31xgnpe.jpg",,,2020-05-29,,665069,115244,1000000,LVPONT9,路易威登
4509206545698713,J3RvgnUuJ,#热巴手稿填色大赛#服装手稿填色游戏正式开启！图一出自迪迪子，图二出自放放子。迪迪子的面子就靠大家的后期填色了 绿洲 ,,"https://wx1.sinaimg.cn/large/63885668ly3gf70bvty0jj216n1kw1kx.jpg,https://wx3.sinaimg.cn/large/63885668ly3gf70bvre6pj214u1kw7ft.jpg",,,2020-05-27,绿洲APP,677651,187547,1000000,热巴手稿填色大赛,
4508573856356301,J3B2NqFyZ,#idoltube##周放vlog# 放放子的第一支搞事业篇vlog已上线～约vlog的朋友们可以放下你们的号码牌了 #幸福触手可及# Dear-迪丽热巴的微博视频 ,,,"http://f.video.weibocdn.com/wxqO0z54lx07DydfKXT201041201qK2S0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1590858143&ssig=h0dkocL7ut&KID=unistore,video",,2020-05-25,影视剪辑 · 视频社区,414721,64144,1000000,"idoltube,周放vlog,幸福触手可及",
4508427881436105,J3xfm61AZ,粉色天空、闪耀夜色、浪漫爱意…我把我喜爱的元素和巴黎限定记忆全部定格在这一瓶#YSL反转巴黎#热爱限定中，第一次与YSL一起合作设计香水，在这#拦不住的夏天#把甜甜的曼陀罗花香送给你们，喜欢吗？💓 ,,"https://wx4.sinaimg.cn/large/63885668ly1gf4iwe1dlwj24as2a1b2d.jpg,https://wx4.sinaimg.cn/large/63885668ly1gf4iwgftuzj22pg1ww1l3.jpg",,,2020-05-25,,589868,272230,1000000,"YSL反转巴黎,拦不住的夏天",
4506243009870340,J2CpmFpJ2,#幸福触手可及开播##幸福触手可及# 度量自身，方能修炼精彩人生。追梦不易，披荆斩棘。今晚八点@湖南卫视 和周放，一起守护梦想，书写初夏。 ,,https://wx1.sinaimg.cn/large/63885668gy1gexjyzy4jbj227d3344qr.jpg,,,2020-05-19,,527042,101644,1000000,"幸福触手可及开播,幸福触手可及",湖南卫视
4506220868058606,J2BPExOpw,很高兴成为力士大中华区沐浴系列代言人，520就要到啦，大家快来接收告白福利哦！全新植萃泡泡沐浴露让每一位小仙女都能在浓密泡泡浴中拥有夏日嫩白肌，仙气香气都十足！关注@LUX力士 第一时间锁定新品哦！LUX力士的微博视频 ,,,"http://f.video.weibocdn.com/004rRLMHgx07DngYEeAv01041200p7Rp0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1590858143&ssig=u34%2B67PiLq&KID=unistore,video",,2020-05-19,,732092,282538,1000000,,LUX力士
4504796625833155,J20Muott9,哈哈哈哈哈哈👅 ,,https://wx4.sinaimg.cn/large/63885668ly1gesxtznhuxj21o0280b2a.jpg,,,2020-05-15,,555274,1000000,1000000,,
4503076830838700,J1i2D3wbq,#极限挑战# 无奖填词竞答，今晚看👉登峰造＿，不可＿量，百里＿一，南征北＿～ Dear-迪丽热巴的微博视频 ,,,"http://f.video.weibocdn.com/2sLlyiOZlx07Da1bD1XO01041200qFDZ0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1590858140&ssig=xgiskMocP5&KID=unistore,video",,2020-05-10,,403352,505844,1000000,极限挑战,
4510357803339855,J4ls8e0QD,#idoltube##周放vlog# 第二篇来啦！今天邀请大家走进生活，走进幸福的放放子一家～#幸福触手可及# Dear-迪丽热巴的微博视频 ,,,"http://f.video.weibocdn.com/xkUhsgQwlx07DG44oROw01041201qC7h0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1590858477&ssig=4k5Hx9GIpa&KID=unistore,video",,2020-05-30,国产剧集 · 视频社区,228055,19061,181777,"idoltube,周放vlog,幸福触手可及",
4510253942870669,J4iKCc2N7,@法国娇韵诗 收到宠爱了～小娇的618#娇宠你有一套#，早晚护肤都靠它，超级喜欢这份宠爱！现在给全体爱丽丝们施法，希望你们都可以拥有这份让你变美的娇宠礼物哦～同款娇宠网页链接一起享用！ ,,"https://wx4.sinaimg.cn/large/63885668ly1gfacma37xcj20zk0npwxn.jpg,https://wx3.sinaimg.cn/large/63885668ly1gfacm9sr2ej20zk0mancj.jpg",,,2020-05-30,,348692,33310,1000000,娇宠你有一套,法国娇韵诗
4509936182927994,J4au6chHI,#微博剧场# 我为4A景区代言，酷飒周放的追剧邀请，你来吗？ #4A景区触手可及# ,,https://wx4.sinaimg.cn/large/63885668ly1gf9c4lx836g20gi0ginpg.gif,,,2020-05-29,,341762,29891,821282,"微博剧场,4A景区触手可及",
4509887742914199,J49dYce7d,@路易威登  PONT 9 手袋 陪你摩登一夏#LVPONT9# ,,"https://wx2.sinaimg.cn/large/63885668ly1gf96jxvgqtj21jk223x6q.jpg,https://wx3.sinaimg.cn/large/63885668ly1gf96kbv253j21g31xgkjm.jpg,https://wx1.sinaimg.cn/large/63885668ly1gf96jr2rozj21g31xgnpe.jpg",,,2020-05-29,,665178,115245,1000000,LVPONT9,路易威登
4509206545698713,J3RvgnUuJ,#热巴手稿填色大赛#服装手稿填色游戏正式开启！图一出自迪迪子，图二出自放放子。迪迪子的面子就靠大家的后期填色了 绿洲 ,,"https://wx1.sinaimg.cn/large/63885668ly3gf70bvty0jj216n1kw1kx.jpg,https://wx3.sinaimg.cn/large/63885668ly3gf70bvre6pj214u1kw7ft.jpg",,,2020-05-27,绿洲APP,677697,187547,1000000,热巴手稿填色大赛,
4508573856356301,J3B2NqFyZ,#idoltube##周放vlog# 放放子的第一支搞事业篇vlog已上线～约vlog的朋友们可以放下你们的号码牌了 #幸福触手可及# Dear-迪丽热巴的微博视频 ,,,"http://f.video.weibocdn.com/wxqO0z54lx07DydfKXT201041201qK2S0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1590858504&ssig=bw5Omtf9%2Fp&KID=unistore,video",,2020-05-25,影视剪辑 · 视频社区,414750,64145,1000000,"idoltube,周放vlog,幸福触手可及",
4508427881436105,J3xfm61AZ,粉色天空、闪耀夜色、浪漫爱意…我把我喜爱的元素和巴黎限定记忆全部定格在这一瓶#YSL反转巴黎#热爱限定中，第一次与YSL一起合作设计香水，在这#拦不住的夏天#把甜甜的曼陀罗花香送给你们，喜欢吗？💓 ,,"https://wx4.sinaimg.cn/large/63885668ly1gf4iwe1dlwj24as2a1b2d.jpg,https://wx4.sinaimg.cn/large/63885668ly1gf4iwgftuzj22pg1ww1l3.jpg",,,2020-05-25,,589898,272230,1000000,"YSL反转巴黎,拦不住的夏天",
4506243009870340,J2CpmFpJ2,#幸福触手可及开播##幸福触手可及# 度量自身，方能修炼精彩人生。追梦不易，披荆斩棘。今晚八点@湖南卫视 和周放，一起守护梦想，书写初夏。 ,,https://wx1.sinaimg.cn/large/63885668gy1gexjyzy4jbj227d3344qr.jpg,,,2020-05-19,,527048,101644,1000000,"幸福触手可及开播,幸福触手可及",湖南卫视
4506220868058606,J2BPExOpw,很高兴成为力士大中华区沐浴系列代言人，520就要到啦，大家快来接收告白福利哦！全新植萃泡泡沐浴露让每一位小仙女都能在浓密泡泡浴中拥有夏日嫩白肌，仙气香气都十足！关注@LUX力士 第一时间锁定新品哦！LUX力士的微博视频 ,,,"http://f.video.weibocdn.com/004rRLMHgx07DngYEeAv01041200p7Rp0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1590858504&ssig=HIBqJAiESH&KID=unistore,video",,2020-05-19,,732103,282645,1000000,,LUX力士
4504796625833155,J20Muott9,哈哈哈哈哈哈👅 ,,https://wx4.sinaimg.cn/large/63885668ly1gesxtznhuxj21o0280b2a.jpg,,,2020-05-15,,1116232,1000000,1000000,,
4503076830838700,J1i2D3wbq,#极限挑战# 无奖填词竞答，今晚看👉登峰造＿，不可＿量，百里＿一，南征北＿～ Dear-迪丽热巴的微博视频 ,,,"http://f.video.weibocdn.com/2sLlyiOZlx07Da1bD1XO01041200qFDZ0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1590858513&ssig=ma5h7%2FPX1I&KID=unistore,video",,2020-05-10,,725827,505844,1000000,极限挑战,
4513236014179180,J5ykphxc8,#出手吧兄弟# 今晚20:10，我在湖南卫视 ，为湖南永州的夏橙出手！ #出手吧兄弟节目单# ,,https://wx4.sinaimg.cn/large/63885668gy1gfjv3m6ixxj20u01hcjxe.jpg,,,2020-06-07,,210579,128087,539093,"出手吧兄弟,出手吧兄弟节目单",
4511858068039032,J4YtUxJjO,要开心。要充实。 ,,https://wx2.sinaimg.cn/large/63885668ly1gffgspjnqnj21400u07ao.jpg,,,2020-06-03,,2213276,1000000,1000000,,
4511806787609512,J4X9cvVA4,#微博live秀# 28岁的直播～@Dear-迪丽热巴 的一直播（下载App->网页链接） ,,,,,2020-06-03,一直播Yi,405200,1000000,23190,微博live秀,
4511519801087016,J4PGk4yMw,生日动态,,,,,2020-06-03,生日动态,1466328,1000000,1000000,,
